Id,SalePrice
1461,138063.13395757964
1462,158764.55810649847
1463,194948.83321813008
1464,193187.00255966367
1465,184435.69847800166
1466,173557.1256728708
1467,171658.0236840987
1468,167900.98617732857
1469,192880.61776832677
1470,137597.71188258874
1471,203100.89920646936
1472,135326.34142986874
1473,135214.84129333895
1474,151638.02308856932
1475,137949.06987629193
1476,219242.75907194664
1477,216485.53973002374
1478,214494.4818047306
1479,218573.8997154303
1480,214067.79776324358
1481,220787.43720176723
1482,202921.65796666688
1483,190809.94224272788
1484,177600.9500022752
1485,186266.73860384175
1486,196837.7893711356
1487,220282.95514716904
1488,210133.11155366537
1489,195927.6148314591
1490,196783.24700807227
1491,195990.7458736676
1492,126979.56442166139
1493,175008.0440803375
1494,215987.07819547033
1495,215487.18128748777
1496,215109.41696872935
1497,199256.89912601214
1498,163130.4032895601
1499,166859.4345051615
1500,163592.48710797404
1501,176259.03607606213
1502,167894.00805764252
1503,199347.47459318786
1504,214368.19014879005
1505,211999.69557533044
1506,187816.0097748778
1507,207487.1026531043
1508,193241.86613888547
1509,157530.67900072862
1510,153345.05062209684
1511,147111.4131003508
1512,159766.82703473358
1513,145879.77225453086
1514,152043.5171081114
1515,172216.6497993842
1516,163895.89923928148
1517,165463.7859345795
1518,143194.96471331132
1519,211541.22136412482
1520,135751.48388802644
1521,140199.20182711483
1522,168879.20049238755
1523,130256.53766958028
1524,123250.77596305317
1525,130092.60198758704
1526,123838.42281981526
1527,130955.95997977926
1528,131062.94728425199
1529,149383.80200584428
1530,172174.95501217706
1531,130902.52741716534
1532,119530.27472868087
1533,158431.41523643187
1534,132460.55483683376
1535,139050.04009037442
1536,129283.9326066616
1537,127034.54850418006
1538,151631.9346815975
1539,174844.612974639
1540,128600.68566487212
1541,133497.008248464
1542,145569.45744068242
1543,200903.96269279736
1544,126455.51818035376
1545,133254.57887298492
1546,146994.54284811462
1547,139090.04134258925
1548,134897.16298296986
1549,129563.2284317152
1550,146592.92535685172
1551,122499.89561288804
1552,150896.84831724293
1553,152882.94390779317
1554,128902.80177281755
1555,169779.1824121518
1556,131420.21729729944
1557,136266.38765318997
1558,138034.82901863274
1559,139471.50774243247
1560,140548.439506384
1561,155421.19495928043
1562,130809.9221790959
1563,133085.13740154996
1564,167108.65009559074
1565,149713.47350946066
1566,199755.9931180815
1567,126018.82412845585
1568,220269.43815211256
1569,154262.39688576903
1570,145219.63185156955
1571,138824.86550225795
1572,140595.48094017184
1573,203588.1742008623
1574,145710.40535588603
1575,197563.2688183598
1576,209839.8672440429
1577,196068.53113983467
1578,143309.46620623945
1579,151442.33963038758
1580,195282.64914863056
1581,150051.86679918488
1582,128949.45895439279
1583,221973.56763596446
1584,212072.3207934991
1585,142622.3454567635
1586,124589.61606018846
1587,128508.74524764644
1588,145688.92483430295
1589,121447.58459194895
1590,141310.3970028341
1591,124770.63670708556
1592,143615.78364786715
1593,140058.3797836963
1594,135592.3165446312
1595,128791.37973945723
1596,221057.41595079796
1597,187118.46004033447
1598,197805.19926057453
1599,173837.49111148514
1600,177947.7732308973
1601,130413.8660090976
1602,131124.23138470028
1603,138913.06661671007
1604,214079.62287136324
1605,212594.5079854783
1606,172501.9227143815
1607,169921.56988362782
1608,210424.61908485612
1609,195549.63213064364
1610,171564.32712447373
1611,151499.20543314135
1612,171485.30857798053
1613,182946.07806014534
1614,135021.20741054844
1615,128551.64603840046
1616,128793.08159722899
1617,131163.55098317898
1618,130977.12827005234
1619,147125.64134187705
1620,157543.2805036843
1621,153186.9823212918
1622,136025.6105808444
1623,223555.84225733817
1624,211704.1882125845
1625,134132.3642160453
1626,172485.7197405294
1627,193635.36992003213
1628,217519.78507774835
1629,185867.83531222792
1630,216915.15195062113
1631,192388.90788486076
1632,206255.93592334018
1633,182352.92044737737
1634,191374.77201823948
1635,171275.14889595634
1636,169328.8392881427
1637,195072.78828137455
1638,183400.49130016298
1639,197176.39080615563
1640,215087.52375069732
1641,180158.57448144726
1642,224364.7630578156
1643,211965.6036435092
1644,213979.14599845387
1645,184254.86698186494
1646,168511.33818272763
1647,167621.23953943787
1648,140996.6966800491
1649,140622.1442926386
1650,134388.36458933487
1651,133734.61576146612
1652,132750.63869841237
1653,134899.30909732822
1654,153822.15520553276
1655,158169.6185335383
1656,150223.24219173598
1657,156541.0941657912
1658,156835.5515871675
1659,138361.60313982706
1660,161857.8867448992
1661,215421.7359199711
1662,219144.62589482384
1663,215351.56422812937
1664,217208.99970214
1665,218820.84819498542
1666,216597.87073809834
1667,216404.1389551
1668,216626.4236992663
1669,218762.301594041
1670,221830.5837008713
1671,213935.69157021248
1672,214134.1306675662
1673,218879.17896492395
1674,224004.9394649792
1675,196502.86455632345
1676,200614.81147362955
1677,215172.7074291509
1678,210399.29112571606
1679,216119.38874780317
1680,212828.92699293213
1681,203227.86078880847
